postcode,shopcode,flydist,distance,duration
6810,06300,33486,49796,2593
6810,83210,87015,112692,4232
6830,06270,26309,44233,2977
6830,06300,19764,46604,3315
6830,83600,59185,93860,4696
6850,06270,38118,61081,5004
6910,06270,29889,64620,4541
6950,06300,2982,7004,853
6950,06270,16474,28461,1753
6950,83600,56826,78087,3471
6950,83210,119253,152209,5869
7000,26000,36866,50532,2722
7000,84140,95263,130306,5374
7100,42480,34758,54388,3783
7110,26000,70947,104027,6171
7120,26000,73465,102796,5491
7130,26000,9576,21273,1348
7130,38400,80219,118259,4581
7140,30001,74655,101734,6398
7150,30001,64158,90545,5062
7160,26000,41909,76730,5236
7170,26000,54204,78937,3991
7190,26000,38416,61179,4190
7200,26000,56710,76596,4375
7210,26000,34669,44690,2269
7210,84140,87716,124464,4921
7220,26000,58656,84020,3819
7230,30001,73896,96815,5767
7240,26000,25606,47489,3374
7240,42480,68736,103421,6137
7250,26000,25292,41034,2327
7250,84140,95574,120809,4979
7260,26000,78012,112441,7037
7270,26000,25650,51315,3799
7290,26000,32467,45972,3625
7300,26000,16822,25091,1862
7300,69800,74636,98253,4172
7310,42480,63216,99949,6088
7320,42480,49923,67059,4152
7330,26000,71537,104716,6253
7340,26000,40696,58400,2485
7340,69800,49995,67496,2984
7340,69760,58708,74701,3361
7340,42480,37783,57120,3532
7340,38400,81039,110261,5184
7350,26000,35511,47018,2381
7350,84140,82854,103054,4687
7360,26000,26170,38631,2465
7360,84140,102442,134223,5524
7370,26000,26899,35555,2289
7370,69800,62826,80030,3799
7380,26000,64630,92406,5744
7400,26000,47638,65243,3471
7400,84140,75870,98011,4695
7410,26000,27054,43311,3450
7410,42480,50555,83653,5420
7430,26000,38346,62555,2753
7430,69800,54675,71652,3252
7430,42480,37866,53200,3397
7430,69760,62753,78856,3630
7440,26000,16102,33792,2313
7440,38400,86093,130779,5547
7450,26000,58544,103117,6740
7460,30001,60428,80259,5918
7470,42480,78333,112901,6138
7500,26000,5568,15602,949
7500,38400,76314,112589,4183
7510,42480,81413,119072,6778
7520,42480,43150,71724,4695
7530,26000,50046,82199,5975
7570,26000,34335,57902,4218
7580,26000,47148,65748,3635
7600,26000,54064,93901,6185
7610,26000,21182,29652,2500
7610,69800,68801,87742,4455
7630,42480,75458,107843,5897
7660,42480,87516,121705,6101
7690,42480,35767,66348,4138
7700,84140,57338,80031,4299
7790,26000,35240,46963,3818
7800,26000,19775,29030,1802
7800,84140,101652,124621,4861
8000,51100,78063,88300,3367
8000,77100,161172,193731,6651
8090,51100,77617,92276,3635
8110,51100,97428,124688,5006
8120,51100,87521,101085,4399
8130,51100,51148,62598,2970
8130,10600,135968,162266,6242
8140,51100,91917,113666,4302
8150,51100,75309,85797,4073
8160,51100,72831,91853,3626
8170,51100,100413,122472,5456
8190,51100,29254,38799,2182
8190,77100,108102,136026,5125
8200,51100,88772,106446,4150
8210,51100,84718,123069,5010
8220,51100,49215,66085,2995
8220,77100,124291,171517,6279
8230,51100,85142,98265,4690
8240,51100,72036,86950,4573
8250,51100,62876,78185,4148
8260,51100,74587,89042,4264
8270,51100,52626,59067,2605
8270,77100,135817,164499,5889
8290,51100,65704,83777,4037
8300,51100,37729,44222,1962
8300,77100,122401,149653,5246
8310,51100,33814,50165,2783
8310,77100,122564,153079,6061
8320,59309,95747,139844,6003
8330,51100,83350,95254,3574
8330,57280,112099,158708,6835
8350,51100,80931,102152,3966
8360,51100,38897,50236,2630
8360,77100,118232,155668,5914
8370,57280,78150,100366,4984
8380,51100,79852,102653,4886
8390,51100,67458,98131,3977
8400,51100,51076,64498,3196
8400,57280,110418,149912,5671
8410,51100,71587,79950,3018
8410,77100,156109,185382,6302
8430,51100,64587,72755,2780
8430,77100,149516,178187,6064
8440,51100,81894,92848,3642
8450,51100,78208,97847,4329
8460,51100,63492,73029,3459
8460,77100,143458,178460,6743
8500,51100,90294,118793,5652
8600,59309,99708,138801,5723
8700,51100,87182,100407,4289
8800,51100,93729,110738,5159
9000,31124,66241,95130,3801
9100,31124,48241,74115,2820
9100,31200,61597,76695,3069
9100,11000,58760,103767,3581
9100,81990,96395,143092,5075
9110,31124,101201,141784,6462
9120,31124,57676,85770,3009
9120,31200,71094,88350,3258
9120,11000,59030,72618,3658
9130,31124,41968,53151,2639
9130,31200,56316,67339,3252
9130,11000,73501,117837,4825
9160,31124,61846,81242,3272
9160,31200,75364,95430,3885
9190,31124,60953,88875,3733
9200,31124,66178,94897,4182
9210,31124,29789,40096,2172
9210,31200,44216,54285,2785
9210,11000,77514,102789,4811
9220,31124,90341,129520,5595
9230,31124,52625,67910,3388
9230,31200,66483,82098,4001
9240,31124,58492,104873,4174
9250,31124,89886,127825,5242
9270,31124,40428,64217,2362
9270,31200,52411,66798,2611
9270,11000,51919,58040,3100
9270,81990,83153,133194,4618
9290,31124,51807,82450,4019
9300,11000,52812,69254,4649
9310,31124,94021,127655,5566
9320,31124,72717,120448,6005
9330,31124,69026,95950,3547
9330,31200,82589,98530,3796
9340,31124,54445,81251,2922
9340,31200,67505,83831,3171
9340,11000,55200,62501,3206
9340,81990,98686,150228,5178
9350,31124,44441,62494,2889
9350,31200,58841,76682,3502
9350,11000,81998,101685,5337
9390,31124,108611,150773,6192
9400,31124,77600,108818,4153
9420,31124,61118,93225,4899
9460,11000,60410,93630,6744
9500,11000,40140,45709,2381
9500,31124,61627,94999,3604
9600,11000,43638,55401,2995
9600,31124,70594,107532,4391
9700,31124,39219,45443,2823
9700,31200,52305,70344,3017
9700,11000,58633,97416,3529
